epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4167,0.97049,3.02692,1.10769,0.02604,0.97656,0.11863,0.08839,0.73411,2.94977,0.89752,0.00016,0.00016,0.00016
2,78.7472,0.85761,1.41222,0.95455,0.80055,0.65854,0.78108,0.59841,0.86137,1.86824,0.90551,0.000336634,0.000336634,0.000336634
3,104.926,0.77975,0.86696,0.92307,0.9702,0.76295,0.88442,0.65535,0.89863,1.50549,0.89518,0.000509704,0.000509704,0.000509704
4,132.243,0.78712,0.7847,0.917,0.97371,0.86793,0.92511,0.72609,0.79894,1.22727,0.87687,0.00067921,0.00067921,0.00067921
5,169.139,0.77305,0.70528,0.90898,0.96033,0.94574,0.97123,0.72376,0.8189,0.97364,0.8752,0.000845152,0.000845152,0.000845152
6,204.901,0.77566,0.69132,0.9084,0.85228,0.90148,0.93919,0.73896,0.72183,0.9329,0.85668,0.00100753,0.00100753,0.00100753
7,242.678,0.7752,0.67591,0.92461,0.88617,0.85148,0.91452,0.72728,0.76547,1.15273,0.87567,0.00116634,0.00116634,0.00116634
8,281.021,0.75703,0.63869,0.90984,0.96637,0.96875,0.98258,0.79251,0.71565,0.88169,0.86678,0.00132159,0.00132159,0.00132159
9,316.72,0.74765,0.61747,0.90445,0.95411,0.97452,0.98976,0.80161,0.72654,0.73364,0.8671,0.00147328,0.00147328,0.00147328
10,353.964,0.7804,0.61851,0.91698,0.96149,0.97527,0.991,0.78345,0.80112,0.72413,0.89546,0.0016214,0.0016214,0.0016214
11,391.585,0.74481,0.61571,0.91107,0.99173,0.98438,0.99372,0.83598,0.63726,0.66459,0.86151,0.00176596,0.00176596,0.00176596
12,430.465,0.71631,0.5813,0.89638,0.97234,0.96875,0.99167,0.82177,0.67603,0.63425,0.87616,0.0017822,0.0017822,0.0017822
13,467.952,0.74153,0.59015,0.90872,0.97476,0.96875,0.98108,0.82801,0.63439,0.6402,0.86876,0.0017624,0.0017624,0.0017624
14,504.152,0.72453,0.5842,0.91209,0.97556,0.93542,0.97917,0.81726,0.69681,0.71994,0.8729,0.0017426,0.0017426,0.0017426
15,540.752,0.69242,0.55119,0.88979,1,0.96043,0.99243,0.82288,0.67264,0.62219,0.87088,0.0017228,0.0017228,0.0017228
16,578.941,0.70966,0.5456,0.90126,0.99965,0.97656,0.99418,0.76953,0.87202,0.59341,0.93994,0.001703,0.001703,0.001703
17,617.147,0.6995,0.52538,0.89982,0.99744,0.97656,0.99462,0.79801,0.75256,0.58644,0.89724,0.0016832,0.0016832,0.0016832
18,655.602,0.69375,0.51812,0.88935,0.98432,0.9806,0.99438,0.81431,0.67957,0.65702,0.87715,0.0016634,0.0016634,0.0016634
19,693.972,0.72762,0.52439,0.90021,0.98286,0.96875,0.99392,0.83017,0.62662,0.58528,0.86946,0.0016436,0.0016436,0.0016436
20,731.348,0.6823,0.50131,0.89302,1,0.99133,0.995,0.86307,0.57812,0.53768,0.85689,0.0016238,0.0016238,0.0016238
21,765.929,0.68521,0.50979,0.90343,1,0.99933,0.995,0.82932,0.67151,0.52248,0.86798,0.001604,0.001604,0.001604
22,803.589,0.70961,0.50434,0.9004,1,0.99937,0.995,0.85909,0.57187,0.46239,0.84718,0.0015842,0.0015842,0.0015842
23,839.62,0.68326,0.48853,0.89443,1,0.99832,0.995,0.85467,0.57762,0.46527,0.84698,0.0015644,0.0015644,0.0015644
24,879.206,0.67842,0.4889,0.89147,0.99899,0.99219,0.995,0.83792,0.63098,0.49016,0.86114,0.0015446,0.0015446,0.0015446
25,913.467,0.6491,0.46237,0.87791,0.99868,0.99219,0.995,0.84686,0.60086,0.43636,0.8555,0.0015248,0.0015248,0.0015248
26,951.23,0.64693,0.46695,0.89342,1,0.99876,0.995,0.86141,0.585,0.41078,0.84674,0.001505,0.001505,0.001505
27,983.239,0.65116,0.45816,0.88204,0.99676,1,0.995,0.86622,0.57626,0.40582,0.84557,0.0014852,0.0014852,0.0014852
28,1014.6,0.67234,0.47401,0.88627,0.99847,0.98438,0.99485,0.83766,0.64138,0.44079,0.86897,0.0014654,0.0014654,0.0014654
29,1047.03,0.66282,0.44056,0.88742,1,0.99946,0.995,0.86527,0.56711,0.41211,0.85288,0.0014456,0.0014456,0.0014456
30,1077.82,0.66804,0.44725,0.90423,1,0.9982,0.995,0.85954,0.56411,0.40877,0.85122,0.0014258,0.0014258,0.0014258
